Thundercat;electronic
Alex & Sierra;cute
Willie Waldman Project;
The Holdup;reggae
Katastro;rock
Dada;rock
7Horse;rock
Big Jesus;Stoner Rock
Milemarker;post-hardcore
Nathan Spenser Revue;
SYNRGY;reggae
Jill Johnson;country
Otep;Nu Metal
Convalescence;metalcore
Ras Kass;Hip-Hop
Pharoahe Monch;Hip-Hop
The Brothers Comatose;seen live
Rainbow Girls;seen live
Carnage;death metal
Controlled Burn;
Allred;acoustic
Skillet;christian rock
Sick Puppies;alternative rock
Devour The Day;alternative rock
Brenton Wood;soul
Utah Symphony;
Chad Valley;chillwave
New Shack;
Computer Magic;synthpop
Scenic Byway;Hip-Hop
Burnell Washburn;
Stef Chura;seen live
Datsik;dubstep
Crizzly;dubstep
Virtual Riot;dubstep
Mykki Blanco;seen live
Cakes Da Killa;Hip-Hop
Utah Symphony;
Robben Ford;blues
Passafire;reggae
Rebelution;reggae
The Atlas Grove;
Stevie Nicks;female vocalists
The Pretenders;rock
Railroad Earth;bluegrass
Pert Near Sandstone;bluegrass
Ragged Union;
Hawthorne Heights;emo
Secondhand Serenade;acoustic
Kenny Holland;pop
Pacific Dub;reggae
Tunnel Vision;post-punk
Immolation ;death metal
Full of Hell;hardcore
JoJo;pop
Alejandro Escovedo;singer-songwriter
Crocodiles;shoegaze
AJ Davila y Terror Amor;
¡MAYDAY!;
Common Kings;reggae
From Indian Lakes;indie
Bad Suns;indie rock
Amigo the Devil;folk
Darkest Hour;metalcore
Rotten Sound;grindcore
Rivers of Nihil;Technical Death Metal
Ringworm;hardcore
Emmure;metalcore
After the Burial;metalcore
Fit For A King;metalcore
Fit For An Autopsy;deathcore
Invent, Animate;metalcore
